States,city,citygroup,Source
Maharashtra,Borivali,Mumbai,Quantum
Maharashtra,Chembur,Mumbai,Quantum
Maharashtra,Dadar,Mumbai,Quantum
Maharashtra,Palghar,Mumbai,Quantum
Maharashtra,Ulhasnagar,Mumbai,Hotstar
Maharashtra,Kalwa,Mumbai,Hotstar
Maharashtra,Dahanu,Mumbai,Hotstar
Maharashtra,Alibag,Mumbai,Hotstar
Maharashtra,Khalapur,Mumbai,Hotstar
Maharashtra,Adavale Budruk,Mumbai,Hotstar
Maharashtra,Jaskhar,Mumbai,Hotstar
Maharashtra,Karjat,Mumbai,Hotstar
Maharashtra,Apta,Mumbai,Hotstar
Maharashtra,Khopoli,Mumbai,Hotstar
Maharashtra,Amtem,Mumbai,Hotstar
Maharashtra,Kalmeshwar,Nagpur,JC - Cohort service
Maharashtra,Kamthi,Nagpur,JC - Cohort service
Maharashtra,Khapa,Nagpur,JC - Cohort service
Maharashtra,Nagpur City,Nagpur,JC - Cohort service
Maharashtra,Takalghat,Nagpur,JC - Cohort service
Maharashtra,Umred,Nagpur,JC - Cohort service
Maharashtra,Nashik,Nashik,JC - Cohort service
Maharashtra,Malegaon,Nashik,Quantum
Bihar,Bihta,Patna,JC - Cohort service
Bihar,Patna,Patna,JC - Cohort service
Maharashtra,Bhosarigoan,Pune,JC - Cohort service
Maharashtra,Dapodi,Pune,JC - Cohort service
Maharashtra,Dhanori,Pune,JC - Cohort service
Maharashtra,Indrayaninagar,Pune,JC - Cohort service
Maharashtra,Kalewadi,Pune,JC - Cohort service
Maharashtra,Khadki,Pune,JC - Cohort service
Maharashtra,Nehrunagar,Pune,JC - Cohort service
Maharashtra,Pirangut,Pune,JC - Cohort service
Maharashtra,Aundh,Pune,JC - Cohort service
Maharashtra,Chinchwad,Pune,JC - Cohort service
Maharashtra,Koregaon,Pune,JC - Cohort service
Maharashtra,Koregaon Mul,Pune,JC - Cohort service
Maharashtra,Pune,Pune,JC - Cohort service
Maharashtra,Talegaon,Pune,JC - Cohort service
Maharashtra,Talegaon Dabhade,Pune,JC - Cohort service
Maharashtra,Pune City,Pune,JC - Cohort service
Maharashtra,Alandi,Pune,Hotstar
Maharashtra,Chakan,Pune,Hotstar
Maharashtra,Loni Kalbhor,Pune,Hotstar
Maharashtra,Pimple,Pune,Hotstar
Maharashtra,Bhor,Pune,Hotstar
Maharashtra,Jejuri,Pune,Hotstar
Maharashtra,Rajgurunagar,Pune,Hotstar
Maharashtra,Shirwal,Pune,Hotstar
Maharashtra,Vadgaon,Pune,Hotstar
Maharashtra,Manchar,Pune,Hotstar
Maharashtra,Daund,Pune,Hotstar
Jharkhand,Jagannathpur,Ranchi,JC - Cohort service
Jharkhand,R.I.T,Ranchi,JC - Cohort service
Jharkhand,Ranchi,Ranchi,JC - Cohort service
Jharkhand,Namkum,Ranchi,JC - Cohort service
Jharkhand,Daltonganj,Ranchi,Quantum
